Airline,Percent Leisure Travelers, Average Business Fare , Average Leisure Fare ,Utilization,How advertised,Gate fees charged to each passenger,Gallons of Fuel Used,Origin City,Destination City,Domestic Flight
Columbia,73.4%, $591.46 , $323.31 ,89.4%,None,$0.00,6334,JFK,MSP,TRUE
SC Airlines,58.3%, $615.71 , $311.45 ,84.8%,None,$21.04,6578,IAH,PEK,TRUE
SC Airlines,44.5%, $917.07 , $361.69 ,73.2%,Billboard,$16.99,7824,MSP,DTW,TRUE
SC Airlines,53.1%," $2,562.39 ", $727.75 ,87.6%,Television,$15.72,14095,EWR,LAX,FALSE
SC Airlines,59.6%," $3,111.95 ", $760.05 ,88.0%,Television,$17.80,14230,EWR,DCA,FALSE
SC Airlines,59.5%," $1,379.68 ", $365.55 ,79.4%,Billboard,$17.59,7266,DCA,LAS,TRUE
Columbia,81.6%, $701.53 , $350.25 ,79.8%,Billboard,$0.00,7042,SLC,SFO,TRUE
SC Airlines,85.9%," $1,481.53 ", $394.72 ,91.9%,Television,$22.89,7526,DTW,DXB,TRUE
Columbia,83.1%, $485.57 , $250.07 ,76.3%,None,$0.00,7543,DEN,DFW,TRUE
SC Airlines,64.0%," $1,456.56 ", $302.65 ,82.5%,Billboard,$18.11,7418,DCA,ATL,TRUE
Columbia,94.6%, $625.58 , $308.36 ,73.8%,None,$0.00,6895,DFW,MCO,TRUE
Columbia,90.8%," $1,087.09 ", $359.16 ,84.3%,Billboard,$0.00,7969,DCA,TPA,TRUE
Columbia,83.4%, $517.04 , $185.14 ,60.7%,None,$0.00,6530,DFW,BWI,TRUE
SC Airlines,60.7%, $632.88 , $351.57 ,77.2%,None,$15.02,7073,JFK,FLL,TRUE
Columbia,80.5%, $707.58 , $398.09 ,82.4%,Billboard,$0.00,6254,LAX,FLL,TRUE
SC Airlines,76.4%," $1,499.84 ", $464.81 ,87.5%,Television,$18.38,6467,LHR,DTW,TRUE
Columbia,89.4%, $988.22 , $369.17 ,83.7%,Billboard,$0.00,7290,SFO,SEA,TRUE
SC Airlines,60.9%, $549.00 , $353.70 ,65.8%,Billboard,$15.01,6957,MSP,ORD,TRUE
SC Airlines,67.6%, $961.99 , $271.81 ,63.3%,Billboard,$16.35,7547,ATL,MIA,TRUE
Columbia,84.8%," $1,127.19 ", $363.60 ,88.1%,Billboard,$0.00,7362,IAD,DCA,TRUE
Columbia,88.9%," $1,244.88 ", $335.87 ,83.6%,Billboard,$0.00,6661,LAS,SFO,TRUE
SC Airlines,49.3%," $1,110.60 ", $403.48 ,70.8%,Billboard,$21.43,7690,MSP,DTW,TRUE
SC Airlines,59.8%," $1,491.31 ", $450.18 ,100.0%,Billboard,$16.84,7751,LHR,BKK,TRUE
SC Airlines,63.8%, $590.64 , $295.19 ,81.2%,None,$20.30,6923,JFK,LAS,TRUE
SC Airlines,48.9%, $826.58 , $280.93 ,68.2%,None,$24.32,6178,MIA,DCA,TRUE
SC Airlines,63.6%," $1,178.63 ", $356.27 ,79.6%,Billboard,$15.83,6176,LGA,JFK,TRUE
SC Airlines,59.4%," $1,562.12 ", $600.42 ,93.1%,Television,$15.82,7819,HND,IAH,TRUE
SC Airlines,62.0%, $665.57 , $517.94 ,82.4%,Billboard,$19.63,6106,FCO,MIA,TRUE
SC Airlines,79.2%," $1,116.90 ", $421.08 ,70.5%,Billboard,$22.64,6319,ATL,DTW,TRUE
Columbia,76.0%, $893.67 , $357.86 ,74.9%,Billboard,$0.00,6317,DTW,MDW,TRUE
Columbia,79.5%, $923.25 , $323.56 ,79.1%,Billboard,$0.00,6151,MCO,DEN,TRUE
SC Airlines,60.3%, $873.73 , $456.00 ,73.7%,Billboard,$19.68,7070,SEA,TPA,TRUE
SC Airlines,63.2%, $547.02 , $432.11 ,72.2%,Billboard,$19.76,7009,SFO,ATL,TRUE
SC Airlines,70.1%, $891.31 , $347.85 ,67.8%,Billboard,$24.25,7522,ATL,ATL,TRUE
SC Airlines,57.0%," $1,801.77 ", $411.63 ,70.8%,Television,$23.48,14064,DTW,AUS,FALSE
SC Airlines,67.1%," $1,206.92 ", $352.69 ,67.8%,Billboard,$19.31,6604,DEN,MSP,TRUE
Columbia,72.5%, $591.05 , $376.22 ,77.8%,None,$0.00,7190,MCO,MCO,TRUE
SC Airlines,59.6%," $1,286.93 ", $316.89 ,83.8%,Billboard,$24.08,7653,SFO,BOS,TRUE
Columbia,76.9%," $1,103.91 ", $305.78 ,74.9%,Billboard,$0.00,7487,AUS,DEN,TRUE
SC Airlines,61.5%," $1,592.44 ", $322.85 ,59.8%,Billboard,$23.19,13631,ATL,BWI,FALSE
Columbia,89.2%, $407.55 , $194.14 ,67.3%,None,$0.00,6747,IAH,BNA,TRUE
SC Airlines,53.0%," $1,175.97 ", $294.46 ,70.8%,Billboard,$17.81,6953,SFO,FLL,TRUE
SC Airlines,66.6%," $1,010.39 ", $258.54 ,65.8%,None,$20.75,6053,PHL,ATL,TRUE
Columbia,96.1%, $716.57 , $376.71 ,77.2%,Billboard,$0.00,7269,SAN,LAS,TRUE
SC Airlines,57.8%, $550.63 , $471.56 ,76.2%,Billboard,$23.40,7129,MSP,IAD,TRUE
SC Airlines,55.3%," $1,295.37 ", $390.64 ,58.1%,Billboard,$19.16,15198,MSP,FLL,FALSE
SC Airlines,47.0%, $608.37 , $235.99 ,61.9%,None,$22.09,7130,MIA,IAH,TRUE
SC Airlines,71.8%," $3,544.72 ", $601.68 ,100.0%,Television,$24.92,13030,HND,FCO,FALSE
SC Airlines,75.8%," $1,177.80 ", $357.08 ,68.0%,Billboard,$18.71,7933,DTW,MSP,TRUE
Columbia,80.6%, $969.29 , $222.96 ,69.2%,Billboard,$0.00,7921,IAH,FLL,TRUE
Columbia,67.1%, $623.33 , $342.55 ,86.8%,None,$0.00,7952,DTW,LGA,TRUE
Columbia,89.2%, $893.31 , $249.85 ,84.3%,None,$0.00,6631,ORD,JFK,TRUE
SC Airlines,56.3%, $813.40 , $358.72 ,69.3%,Billboard,$22.58,6441,DTW,ATL,TRUE
SC Airlines,68.9%," $1,172.24 ", $418.75 ,74.2%,Billboard,$20.89,7898,ORD,BOS,TRUE
SC Airlines,71.1%," $1,819.42 ", $462.83 ,59.0%,Television,$17.12,12246,AUS,PHL,FALSE
SC Airlines,55.6%, $452.87 , $386.43 ,62.1%,None,$22.38,6907,MSP,IAH,TRUE
Columbia,89.1%," $1,376.01 ", $411.98 ,96.7%,Billboard,$0.00,6951,SFO,JFK,TRUE
Columbia,67.6%, $729.57 , $286.70 ,69.7%,None,$0.00,7467,DFW,MDW,TRUE
Columbia,76.6%, $997.66 , $344.75 ,76.2%,Billboard,$0.00,7244,MDW,ATL,TRUE
SC Airlines,63.1%, $558.87 , $251.48 ,57.7%,None,$17.96,7717,MSP,AUS,TRUE
SC Airlines,62.0%," $1,340.64 ", $507.38 ,83.2%,Billboard,$22.70,7385,EWR,MSP,TRUE
Columbia,75.9%, $579.15 , $351.46 ,75.4%,Billboard,$0.00,6957,MDW,SAN,TRUE
SC Airlines,56.2%," $1,711.89 ", $365.42 ,100.0%,Billboard,$22.05,7874,PVG,FRA,TRUE
Columbia,69.9%, $503.98 , $252.19 ,69.4%,None,$0.00,7923,IAH,IAH,TRUE
SC Airlines,64.6%," $1,374.55 ", $323.36 ,76.7%,Billboard,$22.73,6741,ATL,LGA,TRUE
SC Airlines,61.3%," $1,056.13 ", $231.39 ,59.8%,None,$21.75,6725,BWI,MDW,TRUE
Columbia,93.5%, $784.75 , $260.26 ,95.3%,None,$0.00,6887,SFO,JFK,TRUE
Columbia,72.5%, $554.89 , $259.51 ,71.3%,None,$0.00,7350,DEN,MDW,TRUE
Columbia,90.7%, $916.11 , $299.25 ,76.4%,Billboard,$0.00,7726,DFW,MCO,TRUE
SC Airlines,52.0%, $539.08 , $254.49 ,57.6%,None,$21.16,6935,MDW,ORD,TRUE
SC Airlines,63.5%," $1,581.45 ", $352.40 ,100.0%,Billboard,$23.02,6793,FCO,HND,TRUE
SC Airlines,68.3%," $1,281.91 ", $506.44 ,67.9%,Billboard,$22.19,13965,DTW,MSP,FALSE
SC Airlines,53.0%, $874.17 , $352.03 ,86.3%,None,$17.14,7188,SFO,FCO,TRUE
SC Airlines,71.1%, $732.81 , $318.80 ,73.6%,None,$15.17,6996,DTW,ATL,TRUE
Columbia,73.7%, $617.17 , $365.29 ,75.6%,Billboard,$0.00,7858,DFW,MCO,TRUE
SC Airlines,53.6%," $1,232.33 ", $412.53 ,73.0%,Billboard,$17.82,6193,DTW,DTW,TRUE
Columbia,78.5%, $550.99 , $293.02 ,89.3%,None,$0.00,6821,LAX,SFO,TRUE
SC Airlines,53.0%, $923.58 , $397.70 ,65.1%,Billboard,$21.39,6537,IAH,ATL,TRUE
SC Airlines,73.7%, $758.22 , $450.88 ,75.2%,Billboard,$20.14,7439,ATL,SFO,TRUE
Columbia,100.0%," $1,081.56 ", $346.80 ,79.5%,Billboard,$0.00,7354,MSP,MCO,TRUE
SC Airlines,51.8%, $848.26 , $331.25 ,72.0%,Billboard,$15.00,7322,SFO,MIA,TRUE
SC Airlines,63.4%, $677.58 , $396.23 ,61.2%,Billboard,$16.71,6240,IAH,DFW,TRUE
SC Airlines,58.0%, $944.47 , $254.48 ,64.2%,None,$23.95,6748,MIA,DTW,TRUE
Columbia,72.8%, $917.71 , $317.67 ,67.6%,Billboard,$0.00,6465,MCO,BWI,TRUE
SC Airlines,57.8%, $901.18 , $380.87 ,67.0%,Billboard,$21.68,6757,DFW,DTW,TRUE
Columbia,100.0%, $617.46 , $347.35 ,75.8%,None,$0.00,7422,AUS,LAS,TRUE
SC Airlines,69.9%," $1,178.33 ", $306.94 ,76.3%,Billboard,$18.92,6635,DTW,JFK,TRUE
Columbia,66.4%, $857.98 , $281.01 ,82.5%,Billboard,$0.00,7167,JFK,DFW,TRUE
SC Airlines,47.3%, $691.25 , $324.78 ,64.2%,Billboard,$17.82,6920,DFW,ATL,TRUE
Columbia,91.8%, $738.32 , $385.31 ,90.4%,Billboard,$0.00,6782,MCO,EWR,TRUE
Columbia,85.0%, $907.59 , $403.28 ,84.0%,Billboard,$0.00,7949,EWR,FLL,TRUE
SC Airlines,56.4%, $580.97 , $392.89 ,70.0%,Billboard,$23.45,7375,ATL,DFW,TRUE
SC Airlines,40.5%," $2,176.58 ", $692.36 ,73.2%,Television,$23.85,14478,DTW,DTW,FALSE
SC Airlines,56.8%," $1,160.72 ", $433.10 ,71.8%,Billboard,$17.48,7922,MSP,ATL,TRUE
SC Airlines,68.6%, $574.76 , $303.76 ,72.6%,None,$16.46,7076,DTW,MCO,TRUE
Columbia,72.9%, $697.54 , $376.94 ,91.8%,None,$0.00,6399,JFK,MSP,TRUE
SC Airlines,63.9%, $963.08 , $331.92 ,78.7%,Billboard,$16.08,6432,ATL,BOS,TRUE
SC Airlines,66.1%, $908.54 , $304.27 ,69.7%,Billboard,$20.60,7449,ATL,MCO,TRUE
SC Airlines,57.7%, $714.11 , $386.19 ,61.1%,Billboard,$17.41,6606,ATL,BNA,TRUE
Columbia,93.5%, $645.62 , $291.48 ,81.4%,Billboard,$0.00,7635,LAS,MIA,TRUE
SC Airlines,69.4%, $774.57 , $438.29 ,87.5%,Billboard,$18.97,6954,PVG,DTW,TRUE
SC Airlines,70.8%," $1,271.16 ", $423.94 ,68.9%,Billboard,$24.06,12796,ATL,BNA,FALSE
Columbia,91.3%," $1,255.98 ", $456.42 ,93.8%,Billboard,$0.00,6328,SEA,JFK,TRUE
SC Airlines,65.1%," $3,435.73 ", $685.04 ,97.5%,Television,$24.13,13602,SIN,MSP,FALSE
SC Airlines,69.2%, $560.34 , $392.45 ,65.6%,None,$18.04,7782,TPA,DTW,TRUE
Columbia,81.4%, $549.44 , $206.47 ,70.6%,None,$0.00,6881,MIA,FLL,TRUE
Columbia,93.7%, $801.73 , $318.26 ,66.6%,None,$0.00,7776,BWI,SAN,TRUE
Columbia,90.5%, $937.29 , $236.80 ,80.5%,None,$0.00,6529,LAX,SEA,TRUE
SC Airlines,83.1%," $1,075.17 ", $510.62 ,92.5%,Billboard,$20.71,7577,SIN,ATL,TRUE
SC Airlines,73.7%, $868.30 , $303.09 ,63.0%,Billboard,$21.53,6114,DTW,DTW,TRUE
SC Airlines,86.6%," $2,183.93 ", $656.87 ,94.9%,Television,$24.39,14546,HND,LAS,FALSE
SC Airlines,57.5%, $622.80 , $260.68 ,59.4%,None,$17.63,7890,BNA,ATL,TRUE
SC Airlines,59.5%," $2,397.81 ", $629.17 ,71.2%,Television,$20.46,13624,DTW,MSP,FALSE
Columbia,83.2%, $883.36 , $229.18 ,84.5%,None,$0.00,6906,LAX,LGA,TRUE
Columbia,75.4%," $1,098.94 ", $234.20 ,83.0%,None,$0.00,6503,JFK,PHL,TRUE
Columbia,76.7%, $757.51 , $268.94 ,91.0%,None,$0.00,7104,SFO,DCA,TRUE
Columbia,86.9%, $936.42 , $326.88 ,82.7%,Billboard,$0.00,7192,LAX,SLC,TRUE
Columbia,79.2%, $950.29 , $229.37 ,80.1%,None,$0.00,6896,DEN,MCO,TRUE
Columbia,97.0%," $1,053.45 ", $273.23 ,76.5%,Billboard,$0.00,7488,SAN,ATL,TRUE
SC Airlines,57.1%, $686.31 , $350.98 ,63.7%,Billboard,$18.52,7862,BNA,ATL,TRUE
SC Airlines,72.2%," $1,042.20 ", $209.88 ,59.7%,Billboard,$21.38,6086,BNA,MIA,TRUE
Columbia,86.4%, $788.63 , $239.67 ,75.5%,None,$0.00,6665,DEN,MIA,TRUE
SC Airlines,65.1%, $619.92 , $353.92 ,69.6%,None,$15.66,7988,DTW,MSP,TRUE
Columbia,78.6%," $1,225.11 ", $375.82 ,90.4%,Billboard,$0.00,6077,ATL,JFK,TRUE
Columbia,82.7%," $1,006.44 ", $302.96 ,80.1%,None,$0.00,7826,DEN,MCO,TRUE
Columbia,99.6%, $768.54 , $323.92 ,90.3%,None,$0.00,7048,MCO,JFK,TRUE
SC Airlines,60.1%," $1,065.71 ", $359.29 ,63.7%,Billboard,$24.67,7140,IAH,LAS,TRUE
Columbia,60.7%, $865.54 , $268.61 ,80.6%,None,$0.00,7537,FLL,IAD,TRUE
SC Airlines,58.4%," $1,157.58 ", $463.23 ,86.4%,Billboard,$19.63,6316,DFW,MAD,TRUE
SC Airlines,62.6%," $1,593.21 ", $582.53 ,100.0%,Television,$15.33,7796,SIN,SFO,TRUE
SC Airlines,61.3%," $1,237.45 ", $442.31 ,70.0%,Billboard,$19.45,7174,DEN,MSP,TRUE
Columbia,90.9%, $970.31 , $249.79 ,74.2%,None,$0.00,7912,DFW,DEN,TRUE
Columbia,62.4%, $989.36 , $264.88 ,73.0%,None,$0.00,6655,ORD,PHL,TRUE
SC Airlines,77.5%," $2,535.62 ", $468.02 ,77.2%,Television,$18.19,13059,MSP,DCA,FALSE
SC Airlines,45.2%, $886.05 , $428.96 ,79.0%,Billboard,$21.38,7001,ORD,CAN,TRUE
SC Airlines,56.0%," $1,319.36 ", $680.18 ,75.0%,Television,$18.47,13323,EWR,FLL,FALSE
Columbia,82.0%," $1,162.11 ", $286.19 ,79.8%,Billboard,$0.00,7653,LAS,BNA,TRUE
SC Airlines,61.4%," $1,043.11 ", $383.51 ,62.8%,Billboard,$21.92,14351,ATL,FLL,FALSE
SC Airlines,64.6%," $2,111.74 ", $440.21 ,70.4%,Television,$20.61,13860,ATL,SFO,FALSE
SC Airlines,57.9%," $1,177.99 ", $386.37 ,72.0%,Billboard,$21.35,7996,ATL,MSP,TRUE
Columbia,78.8%, $508.89 , $189.63 ,68.6%,None,$0.00,6834,ORD,DFW,TRUE
Columbia,93.4%, $507.56 , $251.44 ,79.4%,None,$0.00,7183,ATL,ATL,TRUE
SC Airlines,51.0%, $890.16 , $349.00 ,54.9%,Billboard,$23.56,6778,SLC,ORD,TRUE
Columbia,90.9%, $978.31 , $252.05 ,75.8%,Billboard,$0.00,7268,IAH,DTW,TRUE
Columbia,87.2%, $885.32 , $291.52 ,69.2%,Billboard,$0.00,7755,MIA,MDW,TRUE
SC Airlines,51.4%, $972.88 , $449.22 ,69.8%,Billboard,$17.78,6861,SAN,LAS,TRUE
SC Airlines,70.6%," $1,153.39 ", $309.20 ,65.3%,Billboard,$18.34,7445,ATL,ATL,TRUE
SC Airlines,63.5%, $934.19 , $465.18 ,71.6%,Billboard,$20.49,7659,ATL,DTW,TRUE
SC Airlines,64.8%," $1,106.01 ", $569.89 ,69.8%,Billboard,$18.31,12919,SFO,IAH,FALSE
SC Airlines,75.3%," $1,116.24 ", $337.23 ,87.4%,Billboard,$19.15,6816,FCO,LAX,TRUE
Columbia,71.8%," $1,141.07 ", $376.15 ,78.7%,Billboard,$0.00,7213,SEA,ATL,TRUE
Columbia,73.6%, $919.65 , $312.04 ,86.7%,Billboard,$0.00,7070,MDW,EWR,TRUE
SC Airlines,71.5%, $645.07 , $243.71 ,63.7%,None,$20.22,7792,DFW,AUS,TRUE
SC Airlines,63.9%," $2,533.81 ", $645.43 ,75.7%,Television,$15.51,14820,ATL,MSP,FALSE
Columbia,94.7%," $1,119.25 ", $286.06 ,79.0%,Billboard,$0.00,6849,ATL,DTW,TRUE
Columbia,67.3%, $525.92 , $286.55 ,81.3%,None,$0.00,7354,MIA,IAD,TRUE
Columbia,77.8%, $473.43 , $294.75 ,73.2%,None,$0.00,7723,BWI,ATL,TRUE
Columbia,86.8%, $573.14 , $263.70 ,90.7%,None,$0.00,6917,BOS,MCO,TRUE
Columbia,81.5%, $986.59 , $225.65 ,83.2%,None,$0.00,7061,EWR,AUS,TRUE
SC Airlines,61.7%," $1,626.47 ", $497.81 ,65.2%,Television,$19.47,12735,DFW,ATL,FALSE
SC Airlines,65.2%," $2,294.74 ", $520.89 ,72.4%,Television,$22.99,15716,ATL,MSP,FALSE
SC Airlines,77.5%," $1,161.63 ", $270.08 ,71.8%,None,$21.27,6836,DTW,DTW,TRUE
Columbia,94.8%," $1,125.78 ", $231.66 ,76.5%,Billboard,$0.00,6029,DFW,MCO,TRUE
Columbia,99.4%," $1,087.16 ", $280.63 ,77.4%,None,$0.00,7013,ATL,DEN,TRUE
SC Airlines,70.9%, $694.20 , $306.43 ,68.0%,Billboard,$24.83,7537,DEN,LAS,TRUE
SC Airlines,52.4%, $626.74 , $323.56 ,68.7%,Billboard,$17.81,7178,ATL,ATL,TRUE
Columbia,73.0%, $899.96 , $349.92 ,83.4%,Billboard,$0.00,6780,JFK,PHL,TRUE
SC Airlines,71.1%," $1,259.17 ", $457.88 ,83.3%,Television,$20.43,6195,ATL,JFK,TRUE
SC Airlines,69.2%, $904.61 , $206.69 ,57.6%,None,$17.51,7767,IAH,MIA,TRUE
SC Airlines,55.8%, $519.70 , $412.02 ,67.9%,None,$21.87,7761,AUS,ATL,TRUE
Columbia,72.1%, $632.00 , $358.10 ,77.1%,Billboard,$0.00,6208,DTW,ORD,TRUE
SC Airlines,61.9%," $1,118.49 ", $338.51 ,71.0%,Billboard,$20.69,7956,DTW,SAN,TRUE
Columbia,95.6%, $871.09 , $371.31 ,78.0%,Billboard,$0.00,6869,AUS,MCO,TRUE
SC Airlines,58.3%," $1,469.74 ", $374.97 ,61.6%,Billboard,$21.11,12918,DTW,AUS,FALSE
SC Airlines,71.1%," $2,465.93 ", $716.56 ,75.2%,Television,$24.49,13656,DTW,CLT,FALSE
SC Airlines,62.2%, $990.37 , $410.32 ,63.7%,Billboard,$21.02,7285,MSP,MDW,TRUE
SC Airlines,51.1%," $1,215.69 ", $330.93 ,73.9%,Billboard,$24.18,6781,SFO,LAS,TRUE
SC Airlines,66.0%," $1,524.08 ", $553.65 ,100.0%,Television,$15.39,6700,PEK,SYD,TRUE
SC Airlines,55.7%," $2,475.75 ", $379.44 ,71.2%,Television,$22.61,13473,ATL,LAS,FALSE
Columbia,86.8%, $821.86 , $362.16 ,96.9%,Billboard,$0.00,7410,EWR,IAD,TRUE
Columbia,100.0%," $1,154.72 ", $402.39 ,85.8%,Billboard,$0.00,6055,MDW,JFK,TRUE
SC Airlines,61.8%, $590.68 , $317.32 ,72.8%,None,$22.17,7084,SAN,DEN,TRUE
SC Airlines,79.0%," $1,153.20 ", $534.95 ,89.8%,Television,$24.38,6307,MCO,CGK,TRUE
SC Airlines,64.1%," $1,074.89 ", $446.86 ,93.7%,Billboard,$18.66,7733,CGK,ATL,TRUE
SC Airlines,54.3%, $663.34 , $329.43 ,72.9%,None,$17.10,7678,ATL,ATL,TRUE
Columbia,89.9%, $813.27 , $295.44 ,79.6%,None,$0.00,6359,DEN,SEA,TRUE
SC Airlines,75.6%, $971.67 , $534.92 ,61.3%,Billboard,$15.56,12048,BNA,DEN,FALSE
SC Airlines,63.4%," $1,862.26 ", $647.81 ,69.7%,Television,$15.90,12182,ATL,MSP,FALSE
SC Airlines,56.1%, $780.56 , $326.22 ,69.0%,Billboard,$21.10,7692,ATL,ATL,TRUE
SC Airlines,67.7%," $1,621.37 ", $491.38 ,91.9%,Television,$24.75,6601,JFK,JFK,TRUE
SC Airlines,47.2%," $1,096.41 ", $341.12 ,94.8%,Billboard,$20.52,6880,SIN,MSP,TRUE
Columbia,79.4%, $639.48 , $443.09 ,89.6%,Billboard,$0.00,6052,DCA,MSP,TRUE
Columbia,79.6%," $1,064.69 ", $323.01 ,75.4%,Billboard,$0.00,6792,MCO,MIA,TRUE
Columbia,80.6%, $681.53 , $291.26 ,74.3%,None,$0.00,7170,TPA,MIA,TRUE
SC Airlines,73.6%," $1,321.90 ", $571.89 ,72.6%,Television,$16.22,12850,DEN,ATL,FALSE
Columbia,94.2%, $907.65 , $193.75 ,68.6%,None,$0.00,7549,ORD,ORD,TRUE
SC Airlines,61.5%," $1,168.35 ", $310.42 ,67.5%,Billboard,$22.06,6946,ATL,ORD,TRUE
Columbia,89.8%, $638.93 , $284.40 ,77.1%,None,$0.00,7793,DFW,DTW,TRUE
Columbia,92.7%, $682.11 , $377.86 ,83.1%,Billboard,$0.00,6203,DFW,BOS,TRUE
SC Airlines,73.4%, $737.47 , $316.34 ,62.3%,None,$22.55,7035,FLL,ATL,TRUE
Columbia,76.4%," $1,067.20 ", $376.33 ,79.6%,Billboard,$0.00,7007,ATL,DTW,TRUE
SC Airlines,63.0%," $1,384.87 ", $404.59 ,77.2%,Television,$17.47,7185,LAS,JFK,TRUE
Columbia,80.5%, $743.34 , $301.41 ,82.2%,None,$0.00,6199,SFO,BNA,TRUE
Columbia,84.8%, $662.62 , $341.49 ,84.6%,None,$0.00,6891,JFK,DFW,TRUE
SC Airlines,77.0%, $657.85 , $512.77 ,86.4%,Billboard,$21.29,6778,AUS,PEK,TRUE
SC Airlines,67.3%, $754.34 , $297.69 ,72.0%,None,$17.04,7816,DCA,SLC,TRUE
Columbia,75.7%, $663.96 , $281.58 ,80.5%,None,$0.00,6126,LAX,IAH,TRUE
Columbia,78.0%, $715.84 , $318.23 ,80.9%,None,$0.00,7958,ORD,LGA,TRUE
Columbia,73.3%, $964.26 , $267.07 ,66.7%,None,$0.00,7610,BNA,MIA,TRUE
